'descricao','gerencia_id','macrorregiao_id','nome'
'Alto Sertão','8','3','8ª'
'Borborema','3','2','16ª'
'Cariri Ocidental','5','2','5ª'
'Cariri Oriental','3','2','15ª'
'Curimataú e Seridó Paraibano','4','2','4ª'
'Mata Atlântica','1','1','1ª'
'Piemonte da Borborema','2','1','2ª'
'Renascer do Brejo','3','2','3ª'
'Sertão da Décima primeira região','11','3','11ª'
'Sertão Patos','6','3','6ª'
'Sertão Univale','9','3','9ª'
'Sertão Vale do Piancó','7','3','7ª'
'Terra de Maringá','10','3','13ª'
'Vale do Mamanguape','1','1','14ª'
'Vale do Paraíba','12','1','12ª'
'Vale dos Dinossauros','10','3','10ª'
